,Donald Trump,Kamala Harris,Beto O'Rourke,Bernie Sanders,Joe Biden
2019-03-03 14:48:34.416269,2.55,5.5,8.0,10.0,10.0
2019-03-03 14:49:37.010193,2.55,5.5,8.0,10.0,10.0
2019-03-03 15:09:35.044181,2.55,5.5,8.0,10.0,10.0
2019-03-03 15:14:05.818858,2.55,5.5,8.0,10.0,10.0
2019-03-03 16:00:05.839038,2.55,5.5,8.0,10.0,10.0
2019-03-03 17:00:07.035248,2.55,5.5,8.0,10.0,10.0
2019-03-03 18:00:06.323670,2.55,5.5,8.0,10.0,10.0
2019-03-03 19:00:06.115401,2.55,5.5,8.0,10.0,10.0
2019-03-03 20:00:05.372179,2.55,5.5,8.0,10.0,10.0
2019-03-03 21:00:05.675530,2.55,5.5,8.0,10.0,10.0
2019-03-03 22:00:05.943662,2.55,5.5,8.0,10.0,10.0
2019-03-03 23:00:07.390968,2.55,5.5,8.0,10.0,10.0
2019-03-04 00:00:05.702639,2.55,5.5,8.0,10.0,10.0
2019-03-04 01:00:05.901702,2.55,5.5,8.0,10.0,10.0
2019-03-04 02:00:05.336126,2.55,5.5,8.0,10.0,10.0
2019-03-04 03:00:05.676552,2.55,5.5,8.0,10.0,10.0
2019-03-04 04:00:06.076951,2.55,5.5,8.0,10.0,10.0
2019-03-04 05:00:05.348097,2.55,5.5,8.0,10.0,10.0
2019-03-04 06:00:05.778277,2.55,5.5,8.0,10.0,10.0
2019-03-04 07:00:05.689104,2.55,5.5,8.0,10.0,10.0
2019-03-04 08:00:06.613467,2.55,5.5,8.0,10.0,10.0
2019-03-04 09:00:06.051259,2.55,5.5,8.0,10.0,10.0
2019-03-04 10:00:05.653073,2.55,5.5,8.0,10.0,10.0
2019-03-04 11:00:06.283772,2.55,5.5,8.0,10.0,10.0
2019-03-04 12:00:05.690127,2.55,5.5,8.0,10.0,10.0
2019-03-04 13:00:05.959430,2.55,5.5,8.0,10.0,10.0
2019-03-04 14:00:05.265801,2.55,5.5,8.0,10.0,10.0
2019-03-04 15:00:05.662865,2.55,5.5,8.0,10.0,10.0
2019-03-04 16:00:06.219398,2.55,5.5,8.0,10.0,10.0
2019-03-04 17:00:06.001913,2.55,5.5,8.0,10.0,10.0
2019-03-04 18:00:05.368576,2.55,5.5,8.0,10.0,10.0
2019-03-04 19:00:05.943684,2.55,5.5,8.0,10.0,10.0
2019-03-04 20:00:05.551360,2.55,5.5,8.0,10.0,10.0
2019-03-04 21:00:06.337500,2.55,5.5,8.0,10.0,10.0
2019-03-04 22:00:05.846120,2.55,5.5,8.0,10.0,10.0
2019-03-04 23:00:06.069680,2.55,5.5,8.0,10.0,10.0
2019-03-05 00:00:05.426619,2.55,5.5,8.0,10.0,10.0
2019-03-05 01:00:05.584588,2.55,5.5,8.0,10.0,10.0
2019-03-05 02:00:05.796522,2.55,5.5,8.0,10.0,10.0
2019-03-05 03:00:05.232006,2.55,5.5,8.0,10.0,10.0
2019-03-05 04:00:05.612153,2.55,5.5,8.0,10.0,10.0
2019-03-05 05:00:06.575453,2.55,5.5,8.0,10.0,10.0
2019-03-05 06:00:05.823692,2.55,5.5,8.0,10.0,10.0
2019-03-05 07:00:05.870015,2.55,5.5,8.0,10.0,10.0
2019-03-05 08:00:05.128088,2.55,5.5,8.0,10.0,10.0
2019-03-05 09:00:05.765351,2.55,5.5,8.0,10.0,10.0
2019-03-05 10:00:05.136629,2.55,5.5,8.0,10.0,10.0
2019-03-05 11:00:05.353038,2.55,5.5,8.0,8.0,10.0
2019-03-05 12:00:05.691119,2.55,5.5,8.0,8.0,10.0
2019-03-05 13:00:06.045331,2.55,5.5,8.0,8.0,10.0
2019-03-05 14:00:05.414276,2.55,5.5,8.0,8.0,10.0
2019-03-05 15:00:05.681866,2.55,5.5,8.0,8.0,10.0
2019-03-05 16:00:05.919535,2.55,5.5,8.0,8.0,10.0
2019-03-05 17:00:05.557439,2.55,5.5,8.0,8.0,10.0
2019-03-05 18:00:06.526606,2.55,5.5,8.0,8.0,10.0
2019-03-05 19:00:06.121907,2.55,5.5,8.0,8.0,10.0
2019-03-05 20:00:05.676188,2.55,5.5,8.0,8.0,10.0
2019-03-05 21:00:06.146251,2.55,5.5,8.0,8.0,10.0
2019-03-05 22:00:05.930665,2.55,5.5,8.0,8.0,10.0
2019-03-05 23:00:05.708034,2.55,5.5,8.0,8.0,10.0
